Year,Government expenditure (% of GDP)
1980,17.5378
1981,20.1213
1982,24.6642
1983,21.6257
1984,19.8085
1985,21.358
1986,25.1425
1987,26.6512
1988,23.5942
1989,19.2218
1990,16.5663
1991,13.9065
1992,13.3747
1993,12.3067
1994,12.5406
1995,13.261
1996,20.804739
1997,20.737402
1998,19.478205
1999,20.136948
2000,19.386517
2001,19.546576
2002,19.76748
2003,21.505184
2004,20.45923
2005,21.15593
2006,21.576569
2007,22.521006
2008,26.501976
2009,26.516525
2010,26.482124
2011,26.622072
2012,26.999657
2013,26.66851
2014,26.949417
2015,26.557375
2016,26.52252
2017,25.01818
2018,24.969736
2019,25.241837
2020,27.788595
2021,26.754974
2022,28.57851
