Year,Petroleum production
1980,100367000
1981,119580928
1982,142079921
1983,138983294
1984,145090791
1985,139758862
1986,129268989
1987,135267715
1988,133903176
1989,133947324
1990,136484511
1991,143480935
1992,142950000
1993,143570000
1994,144139000
1995,140727000
1996,153083000
1997,161251000
1998,163630000
1999,155047000
2000,178360000
2001,184050000
2002,185340000
2003,195890000
2004,197750000
2005,194390000
2006,190410000
2007,179450000
2008,163220000
2009,153600000
2010,152670000
2011,151842000
2012,150601000
2013,148998583
2014,144138810
2015,133953966
2016,127077904
2017,115135269
2018,107070000
2019,99212000
2020,98850000
2021,99521955
2022,100504249
